"ID";"Vermogensklassen";"KenmerkenVanHetHuishouden";"Perioden";"Aantal_1";"AantalPersonen_2";"Totaal_3";"Gemiddeld_4";"k_50ePercentielMediaan_5"
"307";"   1";"6081";"2009JJ00";"362";"1.3";"3.4";"9";"1"
"308";"   1";"6081";"2010JJ00";"364";"1.3";"3.3";"9";"1"
"309";"   1";"6081";"2011XX00";"370";"1.3";"2.3";"6";"1"
"310";"   1";"6081";"2011JJ00";"380";"1.3";"3.3";"9";"1"
"311";"   1";"6081";"2012JJ00";"378";"1.3";"3.3";"9";"1"
"312";"   1";"6082";"2006JJ00";"2629";"2.6";"218.6";"83";"19"
"313";"   1";"6082";"2007JJ00";"2594";"2.6";"234.7";"90";"21"
"314";"   1";"6082";"2008JJ00";"2567";"2.6";"239.2";"93";"22"
"315";"   1";"6082";"2009JJ00";"2549";"2.6";"212.9";"84";"16"
"316";"   1";"6082";"2010JJ00";"2517";"2.6";"177.3";"70";"8"
"317";"   1";"6082";"2011XX00";"2469";"2.6";"152.9";"62";"6"
"318";"   1";"6082";"2011JJ00";"2459";"2.6";"163.4";"66";"5"
"319";"   1";"6082";"2012JJ00";"2442";"2.5";"146.8";"60";"4"
"320";"   1";"6083";"2006JJ00";"2551";"2.5";"560.2";"220";"112"
"321";"   1";"6083";"2007JJ00";"2601";"2.4";"620.7";"239";"123"
"322";"   1";"6083";"2008JJ00";"2652";"2.4";"656.4";"248";"130"
"323";"   1";"6083";"2009JJ00";"2696";"2.4";"634.1";"235";"119"
"324";"   1";"6083";"2010JJ00";"2745";"2.4";"618.7";"225";"101"
"325";"   1";"6083";"2011XX00";"2787";"2.4";"594.1";"213";"92"
"326";"   1";"6083";"2011JJ00";"2788";"2.4";"600.6";"215";"92"
"327";"   1";"6083";"2012JJ00";"2798";"2.4";"575.6";"206";"84"
"328";"   1";"6084";"2006JJ00";"1540";"1.6";"332.3";"216";"49"
"329";"   1";"6084";"2007JJ00";"1567";"1.6";"365.7";"233";"61"
"330";"   1";"6084";"2008JJ00";"1595";"1.6";"400.9";"251";"84"
"331";"   1";"6084";"2009JJ00";"1635";"1.6";"398.1";"243";"101"
"332";"   1";"6084";"2010JJ00";"1676";"1.6";"414";"247";"104"
"333";"   1";"6084";"2011XX00";"1711";"1.6";"419.1";"245";"103"
"334";"   1";"6084";"2011JJ00";"1711";"1.6";"423.9";"248";"102"
"335";"   1";"6084";"2012JJ00";"1788";"1.6";"440.7";"246";"107"
"336";"   1";"6101";"2006JJ00";"343";"1.3";"2.4";"7";"1"
"337";"   1";"6101";"2007JJ00";"347";"1.3";"2.8";"8";"1"
"338";"   1";"6101";"2008JJ00";"352";"1.3";"3.2";"9";"1"
"339";"   1";"6101";"2009JJ00";"362";"1.3";"3.4";"9";"1"
"340";"   1";"6101";"2010JJ00";"364";"1.3";"3.3";"9";"1"
"341";"   1";"6101";"2011XX00";"370";"1.3";"2.3";"6";"1"
"342";"   1";"6101";"2011JJ00";"380";"1.3";"3.3";"9";"1"
"343";"   1";"6101";"2012JJ00";"378";"1.3";"3.3";"9";"1"
"344";"   1";"6102";"2006JJ00";"495";"1.8";"10.5";"21";"3"
"345";"   1";"6102";"2007JJ00";"497";"1.8";"11.7";"24";"3"
"346";"   1";"6102";"2008JJ00";"504";"1.8";"13.7";"27";"4"
"347";"   1";"6102";"2009JJ00";"508";"1.8";"10.7";"21";"2"
"348";"   1";"6102";"2010JJ00";"515";"1.8";"7.7";"15";"2"
"349";"   1";"6102";"2011XX00";"519";"1.8";"6.7";"13";"1"
"350";"   1";"6102";"2011JJ00";"511";"1.8";"7.4";"14";"1"
"351";"   1";"6102";"2012JJ00";"517";"1.7";"7.1";"14";"1"
"352";"   1";"6103";"2006JJ00";"631";"2.3";"32.9";"52";"13"
